,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,status
0,347.8016969356988,Entire home/apt,False,False,6.0,False,0,1,2.0,60.0,2,3.1839035412612238,0.5796027449674164,92.99351139748374,6.659581696551579,131.9037343040079,3.18806236626961,16.33086,48.2099,Weekend
1,209.89645419909775,Entire home/apt,False,False,4.0,True,1,0,10.0,95.0,2,2.355922138450864,0.3841849301482803,105.49567608563817,7.555149336410549,143.86272448063167,3.439142620903967,16.39934,48.22096,Weekdays
2,275.3430100740949,Entire home/apt,False,False,4.0,True,0,1,10.0,100.0,1,1.252713920260372,0.1439594459707351,270.4218675146,19.36582985397684,331.5397430666766,8.013187673348922,16.36075,48.20128,Weekend
3,209.66271649954425,Entire home/apt,False,False,4.0,False,0,1,10.0,92.0,1,4.125524222227512,0.370788262111539,102.99859625487969,7.376079858492825,107.5619526585521,2.599730895585296,16.321820000000002,48.19525,Weekend
4,173.9008484678494,Entire home/apt,False,False,4.0,True,1,0,10.0,95.0,1,2.2053117359905685,0.3047411036248885,94.8106732957004,6.78993511405312,145.85058770466912,3.48666393097922,16.368,48.228,Weekdays
5,220.1809129794545,Entire home/apt,False,False,4.0,False,1,0,9.0,88.0,2,2.4492019618324643,1.1567586947122577,112.37672844338624,8.047940890371915,141.61646862824486,3.3854442479078504,16.39015,48.18945,Weekdays
6,521.9362831031017,Entire home/apt,False,False,4.0,True,1,0,10.0,100.0,1,0.9151210386488758,0.3117290906571809,162.82438550823213,11.660786430008445,289.9459490997487,6.931367905809728,16.384,48.213,Weekdays
7,156.60425870088588,Entire home/apt,False,False,4.0,False,0,0,10.0,94.0,2,2.4924994963571425,0.1964614743653626,115.85912597166696,8.29733531440073,156.81211478095005,3.7487071745944616,16.3713,48.18616,Weekdays
8,220.1809129794545,Entire home/apt,False,False,3.0,False,0,0,10.0,100.0,1,3.9729451882840463,0.1838144978282061,71.89072813105616,5.14833959938308,94.934343474634,2.2945264536668795,16.37658,48.17284,Weekend
9,319.986910688825,Entire home/apt,False,False,6.0,False,0,1,10.0,94.0,2,4.7674210586448345,0.2959387409353429,59.52056523053757,4.262608436569806,77.07708990996018,1.8425836571743703,16.382070000000002,48.16601,Weekdays
10,206.3903887057944,Entire home/apt,False,False,4.0,False,0,0,10.0,96.0,1,1.361500137310656,0.1674637864116224,134.93062633764904,9.66315464160649,227.0587657471399,5.428004241890816,16.387439999999998,48.2166,Weekdays
11,341.95825444685977,Entire home/apt,False,False,4.0,True,0,0,10.0,96.0,0,0.5213710858364604,0.1359082089692757,391.0533038630144,28.005565903795542,519.3361269781446,12.415106243217238,16.367,48.21,Weekdays
12,331.67379566650305,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,0.427660664357387,0.3496763302007444,358.02840995125126,25.64046418038516,553.0762737134478,13.221688887135937,16.36937,48.211090000000006,Weekdays
13,252.67045321739943,Entire home/apt,False,False,6.0,False,0,1,9.0,96.0,2,3.9598607206694174,0.2607322693486432,98.24520949934552,7.035673662855367,114.24708453492192,2.761307953741081,16.32304,48.1974,Weekend
14,196.8071430240984,Entire home/apt,False,False,3.0,False,0,0,10.0,97.0,1,1.867177252990024,0.2818347116965091,109.54456864115812,7.844859209166656,169.9164772925617,4.106815698007581,16.36657,48.22464,Weekend
15,261.0850104013276,Entire home/apt,False,False,3.0,False,0,0,9.0,88.0,1,1.2973688464722497,0.3442193197231056,137.48897026101304,9.846372296699982,219.5405945457084,5.2482769143051575,16.3721,48.22015,Weekdays
16,125.2834069607087,Private room,False,True,2.0,False,1,0,8.0,84.0,0,1.4537794286331374,0.4694210154350487,196.81931276007683,14.095357794427276,311.82547891318114,7.454413912190937,16.364279999999997,48.19705,Weekdays
17,208.49402800177643,Entire home/apt,False,False,4.0,False,1,0,10.0,95.0,1,4.979847528021097,0.6702671515988204,112.62796635892828,8.065671808840214,87.8666860715055,2.123703901117538,16.322,48.18,Weekend
18,229.5304209615969,Private room,False,True,6.0,False,0,0,10.0,92.0,2,6.759380018019299,2.9908183098742622,43.694525311419234,3.129113597610756,59.02502563502764,1.4266120962233657,16.291529999999998,48.2347,Weekend
19,169.22609447677817,Entire home/apt,False,False,4.0,False,0,0,9.0,93.0,1,2.8037764152113107,0.6122881482783712,107.73719552127808,7.715427071729181,158.95671183619982,3.841922395487128,16.354,48.187,Weekend
20,290.76969824462986,Entire home/apt,False,False,3.0,False,0,1,10.0,100.0,0,2.8080211687295478,0.9030586736612812,104.63045843971912,7.492943060818846,146.87919594826016,3.550013496292348,16.35949,48.18511,Weekend
21,212.00009349507985,Entire home/apt,False,False,3.0,False,0,1,10.0,100.0,1,4.339129729906062,0.4330923297684039,120.96684831812624,8.663128553785207,103.65570454033993,2.4779646894043483,16.324,48.188,Weekdays
22,144.91737372320782,Entire home/apt,False,False,2.0,False,0,0,9.0,93.0,0,2.975135053085689,0.4920596917579288,93.2559026372703,6.678372425835357,139.62271904957612,3.3746272493868537,16.33472,48.21476,Weekend
23,434.985858869177,Entire home/apt,False,False,4.0,False,0,0,9.0,95.0,1,1.5683480073845817,0.2375255728391202,130.82522592692575,9.36883946995203,204.55971101989363,4.944129290945284,16.3647,48.2213,Weekend
24,192.3661267325807,Entire home/apt,False,False,4.0,True,1,0,10.0,99.0,1,5.270682350461244,0.2443426716909091,50.11239654503211,3.588719188967636,78.57358469601314,1.8990932263897693,16.417,48.17100000000001,Weekend
